ap_id,rssi,room_id
DIRECT-A8-HP OfficeJet Pro 8730,-53,A507
Konferencija,-61,A507
eduroam,-62,A507
fesb-mobile,-62,A507
predavaonice,-62,A507
SDZ,-62,A507
Novinari,-62,A507
Vijecnici,-62,A507
Radio Data,-69,A507
DIRECT-A8-HP OfficeJet Pro 8730,-52,A507
KTOS,-57,A507
eduroam,-60,A507
Vijecnici,-60,A507
predavaonice,-60,A507
Novinari,-60,A507
Konferencija,-60,A507
fesb-mobile,-61,A507
SDZ,-61,A507
Radio Data,-70,A507
KTOS,-51,A507
DIRECT-A8-HP OfficeJet Pro 8730,-52,A507
Vijecnici,-60,A507
fesb-mobile,-60,A507
Konferencija,-60,A507
SDZ,-60,A507
eduroam,-60,A507
predavaonice,-61,A507
Novinari,-61,A507
Radio Data,-62,A507
DIRECT-A8-HP OfficeJet Pro 8730,-49,A507
KTOS,-53,A507
eduroam,-61,A507
Radio Data,-68,A507
EMLAB,-70,A507
free_wifi,-72,A507
Priva,-72,A507
IoT Lab,-78,A507
TP-Link_27F9,-82,A507
eduroam,-83,A507
DIRECT-A8-HP OfficeJet Pro 8730,-51,A507
KTOS,-53,A507
eduroam,-58,A507
Radio Data,-65,A507
EMLAB,-70,A507
Priva,-70,A507
free_wifi,-72,A507
dlink-6200,-79,A507
IoT Lab,-80,A507
Vijecnici,-81,A507
KTOS,-54,A507
Novinari,-59,A507
eduroam,-59,A507
Vijecnici,-59,A507
fesb-mobile,-59,A507
predavaonice,-59,A507
Konferencija,-59,A507
DIRECT-A8-HP OfficeJet Pro 8730,-60,A507
free_wifi,-71,A507
Priva,-72,A507
KTOS,-53,A507
eduroam,-60,A507
Novinari,-60,A507
Vijecnici,-60,A507
predavaonice,-60,A507
Konferencija,-60,A507
SDZ,-60,A507
