ap_id,rssi,room_id
fesb-mobile,-65,A501
Konferencija,-66,A501
SDZ,-66,A501
eduroam,-67,A501
predavaonice,-67,A501
IoT Lab,-71,A501
Vijecnici,-72,A501
Novinari,-72,A501
Priva,-54,A501
TP-Link_27F9,-55,A501
eduroam,-69,A501
Novinari,-70,A501
Konferencija,-71,A501
SDZ,-72,A501
eduroam,-73,A501
predavaonice,-73,A501
Vijecnici,-74,A501
fesb-mobile,-74,A501
Priva,-56,A501
TP-Link_27F9,-61,A501
predavaonice,-72,A501
eduroam,-73,A501
free_wifi,-75,A501
Vijecnici,-75,A501
Konferencija,-76,A501
Novinari,-76,A501
IoT Lab,-77,A501
SDZ,-82,A501
TP-Link_27F9,-47,A501
Priva,-55,A501
Novinari,-73,A501
fesb-mobile,-73,A501
Konferencija,-73,A501
SDZ,-73,A501
eduroam,-74,A501
Vijecnici,-74,A501
predavaonice,-74,A501
IoT Lab,-75,A501
TP-Link_27F9,-52,A501
Priva,-52,A501
eduroam,-72,A501
fesb-mobile,-72,A501
Konferencija,-72,A501
SDZ,-72,A501
Novinari,-73,A501
Vijecnici,-73,A501
predavaonice,-73,A501
eduroam,-75,A501
TP-Link_27F9,-49,A501
Priva,-55,A501
eduroam,-71,A501
Novinari,-71,A501
Vijecnici,-71,A501
fesb-mobile,-71,A501
predavaonice,-71,A501
eduroam,-77,A501
HUAWEI Mate 10 Pro,-81,A501
predavaonice,-82,A501
TP-Link_27F9,-52,A501
Priva,-53,A501
eduroam,-72,A501
Novinari,-72,A501
Vijecnici,-73,A501
eduroam,-77,A501
Novinari,-77,A501
Vijecnici,-77,A501
fesb-mobile,-77,A501
predavaonice,-77,A501
TP-Link_27F9,-51,A501
Priva,-53,A501
Konferencija,-72,A501
eduroam,-73,A501
Novinari,-73,A501
Vijecnici,-73,A501
fesb-mobile,-73,A501
predavaonice,-73,A501
SDZ,-73,A501
Novinari,-76,A501
TP-Link_27F9,-52,A501
Priva,-54,A501
fesb-mobile,-75,A501
eduroam,-75,A501
IoT Lab,-75,A501
Novinari,-76,A501
eduroam,-80,A501
eduroam,-80,A501
Novinari,-81,A501
Vijecnici,-81,A501
TP-Link_27F9,-51,A501
Priva,-52,A501
SDZ,-72,A501
fesb-mobile,-73,A501
predavaonice,-73,A501
Konferencija,-73,A501
eduroam,-74,A501
Novinari,-74,A501
Vijecnici,-74,A501
IoT Lab,-81,A501
TP-Link_27F9,-51,A501
Priva,-53,A501
eduroam,-71,A501
IoT Lab,-74,A501
fesb-mobile,-75,A501
predavaonice,-75,A501
Konferencija,-75,A501
eduroam,-76,A501
Novinari,-76,A501
Vijecnici,-76,A501
TP-Link_27F9,-49,A501
Priva,-52,A501
eduroam,-71,A501
SDZ,-71,A501
Vijecnici,-72,A501
predavaonice,-72,A501
Konferencija,-72,A501
fesb-mobile,-73,A501
IoT Lab,-75,A501
eduroam,-76,A501
TP-Link_27F9,-51,A501
Priva,-51,A501
eduroam,-70,A501
Novinari,-71,A501
Vijecnici,-71,A501
predavaonice,-71,A501
fesb-mobile,-72,A501
eduroam,-76,A501
Novinari,-76,A501
Vijecnici,-76,A501
TP-Link_27F9,-51,A501
Priva,-54,A501
eduroam,-72,A501
Vijecnici,-73,A501
eduroam,-75,A501
Novinari,-75,A501
predavaonice,-75,A501
Konferencija,-75,A501
fesb-mobile,-75,A501
Novinari,-75,A501
TP-Link_27F9,-47,A501
Priva,-52,A501
SDZ,-71,A501
eduroam,-72,A501
Novinari,-72,A501
fesb-mobile,-72,A501
Konferencija,-72,A501
Vijecnici,-73,A501
predavaonice,-73,A501
Vijecnici,-75,A501
TP-Link_27F9,-47,A501
Priva,-55,A501
eduroam,-75,A501
SDZ,-80,A501
fesb-mobile,-80,A501
eduroam,-81,A501
free_wifi,-81,A501
eduroam,-81,A501
dlink-6200,-81,A501
Vijecnici,-81,A501
TP-Link_27F9,-51,A501
Priva,-52,A501
Novinari,-72,A501
eduroam,-72,A501
Vijecnici,-72,A501
fesb-mobile,-72,A501
predavaonice,-72,A501
IoT Lab,-74,A501
eduroam,-75,A501
Vijecnici,-76,A501
TP-Link_27F9,-48,A501
Priva,-53,A501
eduroam,-71,A501
predavaonice,-71,A501
Novinari,-72,A501
fesb-mobile,-73,A501
Novinari,-76,A501
eduroam,-77,A501
Vijecnici,-77,A501
fesb-mobile,-77,A501
Priva,-51,A501
TP-Link_27F9,-52,A501
Novinari,-71,A501
eduroam,-72,A501
eduroam,-76,A501
predavaonice,-82,A501
fesb-mobile,-82,A501
DIRECT-A8-HP OfficeJet Pro 8730,-83,A501
IoT Lab,-83,A501
eduroam,-83,A501
TP-Link_27F9,-51,A501
Priva,-52,A501
fesb-mobile,-72,A501
predavaonice,-72,A501
eduroam,-72,A501
SDZ,-72,A501
Vijecnici,-72,A501
Konferencija,-73,A501
Novinari,-73,A501
IoT Lab,-75,A501
TP-Link_27F9,-49,A501
Priva,-52,A501
predavaonice,-69,A501
Konferencija,-70,A501
SDZ,-70,A501
Novinari,-71,A501
eduroam,-71,A501
Vijecnici,-71,A501
fesb-mobile,-71,A501
Vijecnici,-75,A501
TP-Link_27F9,-49,A501
Priva,-52,A501
eduroam,-70,A501
eduroam,-77,A501
Novinari,-77,A501
predavaonice,-80,A501
free_wifi,-82,A501
DIRECT-A8-HP OfficeJet Pro 8730,-82,A501
SDZ,-82,A501
Novinari,-82,A501
TP-Link_27F9,-50,A501
Priva,-52,A501
Vijecnici,-73,A501
predavaonice,-74,A501
SDZ,-74,A501
eduroam,-75,A501
Novinari,-75,A501
Konferencija,-75,A501
eduroam,-77,A501
IoT Lab,-80,A501
TP-Link_27F9,-52,A501
Priva,-52,A501
Vijecnici,-73,A501
eduroam,-74,A501
Novinari,-74,A501
fesb-mobile,-74,A501
predavaonice,-74,A501
Konferencija,-74,A501
SDZ,-74,A501
IoT Lab,-76,A501
TP-Link_27F9,-48,A501
Priva,-53,A501
eduroam,-76,A501
Novinari,-76,A501
fesb-mobile,-76,A501
predavaonice,-76,A501
Konferencija,-76,A501
Vijecnici,-76,A501
Novinari,-76,A501
fesb-mobile,-76,A501
TP-Link_27F9,-51,A501
Priva,-53,A501
fesb-mobile,-73,A501
Novinari,-73,A501
eduroam,-73,A501
Novinari,-76,A501
eduroam,-77,A501
IoT Lab,-80,A501
fesb-mobile,-80,A501
eduroam,-81,A501
TP-Link_27F9,-49,A501
Priva,-53,A501
Novinari,-72,A501
Vijecnici,-72,A501
fesb-mobile,-72,A501
predavaonice,-72,A501
eduroam,-76,A501
free_wifi,-82,A501
eduroam,-82,A501
SDZ,-82,A501
Priva,-52,A501
TP-Link_27F9,-54,A501
IoT Lab,-74,A501
Novinari,-74,A501
predavaonice,-75,A501
SDZ,-75,A501
eduroam,-75,A501
Novinari,-75,A501
Vijecnici,-75,A501
fesb-mobile,-75,A501
TP-Link_27F9,-51,A501
Priva,-53,A501
SDZ,-72,A501
Konferencija,-73,A501
predavaonice,-74,A501
eduroam,-74,A501
fesb-mobile,-74,A501
predavaonice,-74,A501
fesb-mobile,-75,A501
Konferencija,-75,A501
TP-Link_27F9,-51,A501
Priva,-54,A501
eduroam,-68,A501
eduroam,-76,A501
IoT Lab,-77,A501
Radio Data,-82,A501
dlink-6200,-82,A501
Konferencija,-82,A501
KTOS,-83,A501
predavaonice,-83,A501
TP-Link_27F9,-49,A501
Priva,-54,A501
eduroam,-73,A501
Novinari,-74,A501
IoT Lab,-75,A501
Vijecnici,-75,A501
predavaonice,-75,A501
eduroam,-76,A501
fesb-mobile,-76,A501
Konferencija,-76,A501
TP-Link_27F9,-48,A501
Priva,-53,A501
predavaonice,-72,A501
SDZ,-72,A501
eduroam,-73,A501
Novinari,-73,A501
fesb-mobile,-73,A501
Konferencija,-73,A501
Vijecnici,-74,A501
eduroam,-76,A501
TP-Link_27F9,-47,A501
Priva,-54,A501
predavaonice,-70,A501
Vijecnici,-71,A501
Konferencija,-71,A501
SDZ,-71,A501
Novinari,-72,A501
eduroam,-72,A501
fesb-mobile,-72,A501
eduroam,-76,A501
TP-Link_27F9,-47,A501
Priva,-53,A501
Novinari,-73,A501
Vijecnici,-73,A501
fesb-mobile,-73,A501
predavaonice,-73,A501
Konferencija,-73,A501
SDZ,-73,A501
eduroam,-74,A501
predavaonice,-76,A501
TP-Link_27F9,-48,A501
Priva,-52,A501
SDZ,-72,A501
Vijecnici,-73,A501
fesb-mobile,-73,A501
predavaonice,-73,A501
Konferencija,-73,A501
IoT Lab,-74,A501
eduroam,-74,A501
Novinari,-74,A501
TP-Link_27F9,-48,A501
Priva,-53,A501
eduroam,-70,A501
Novinari,-70,A501
Vijecnici,-71,A501
Konferencija,-71,A501
SDZ,-71,A501
fesb-mobile,-72,A501
predavaonice,-72,A501
eduroam,-76,A501
TP-Link_27F9,-49,A501
Priva,-51,A501
eduroam,-72,A501
Novinari,-72,A501
Vijecnici,-72,A501
Konferencija,-72,A501
fesb-mobile,-73,A501
predavaonice,-73,A501
SDZ,-73,A501
eduroam,-77,A501
TP-Link_27F9,-49,A501
Priva,-51,A501
eduroam,-71,A501
eduroam,-77,A501
IoT Lab,-81,A501
Radio Data,-83,A501
dlink-6200,-84,A501
SDZ,-84,A501
predavaonice,-84,A501
Konferencija,-85,A501
TP-Link_27F9,-51,A501
Priva,-51,A501
predavaonice,-71,A501
SDZ,-71,A501
eduroam,-72,A501
Vijecnici,-72,A501
Novinari,-72,A501
fesb-mobile,-72,A501
Konferencija,-72,A501
IoT Lab,-75,A501
TP-Link_27F9,-50,A501
Priva,-53,A501
fesb-mobile,-73,A501
eduroam,-74,A501
Vijecnici,-74,A501
Novinari,-74,A501
predavaonice,-74,A501
predavaonice,-76,A501
eduroam,-77,A501
Vijecnici,-78,A501
TP-Link_27F9,-50,A501
Priva,-52,A501
Vijecnici,-73,A501
SDZ,-73,A501
Novinari,-73,A501
fesb-mobile,-73,A501
predavaonice,-74,A501
Konferencija,-74,A501
eduroam,-74,A501
Vijecnici,-76,A501
TP-Link_27F9,-47,A501
Priva,-52,A501
eduroam,-67,A501
Novinari,-67,A501
predavaonice,-68,A501
fesb-mobile,-69,A501
Vijecnici,-70,A501
SDZ,-70,A501
Konferencija,-71,A501
fesb-mobile,-74,A501
TP-Link_27F9,-48,A501
Priva,-56,A501
fesb-mobile,-75,A501
predavaonice,-75,A501
eduroam,-76,A501
HP-Print-87-LaserJet 1102,-77,A501
IoT Lab,-80,A501
eduroam,-80,A501
Radio Data,-81,A501
PMF,-81,A501
Priva,-48,A501
TP-Link_27F9,-58,A501
eduroam,-75,A501
eduroam,-76,A501
Novinari,-77,A501
fesb-mobile,-77,A501
Konferencija,-77,A501
free_wifi,-78,A501
Vijecnici,-78,A501
predavaonice,-78,A501
Priva,-49,A501
TP-Link_27F9,-54,A501
eduroam,-65,A501
Novinari,-65,A501
fesb-mobile,-65,A501
Konferencija,-65,A501
Vijecnici,-66,A501
predavaonice,-66,A501
free_wifi,-74,A501
Novinari,-75,A501
Priva,-51,A501
TP-Link_27F9,-55,A501
eduroam,-62,A501
Vijecnici,-62,A501
fesb-mobile,-62,A501
Konferencija,-62,A501
SDZ,-62,A501
Novinari,-63,A501
predavaonice,-64,A501
eduroam,-73,A501
Priva,-51,A501
TP-Link_27F9,-53,A501
Vijecnici,-64,A501
Novinari,-64,A501
fesb-mobile,-64,A501
Konferencija,-64,A501
eduroam,-65,A501
predavaonice,-65,A501
SDZ,-65,A501
eduroam,-73,A501
Priva,-51,A501
TP-Link_27F9,-52,A501
Novinari,-64,A501
Vijecnici,-64,A501
eduroam,-65,A501
fesb-mobile,-65,A501
Konferencija,-65,A501
predavaonice,-65,A501
SDZ,-65,A501
Novinari,-73,A501
Priva,-51,A501
TP-Link_27F9,-53,A501
Vijecnici,-62,A501
eduroam,-63,A501
Novinari,-63,A501
fesb-mobile,-63,A501
IoT Lab,-71,A501
eduroam,-73,A501
predavaonice,-73,A501
Novinari,-74,A501
Priva,-52,A501
TP-Link_27F9,-57,A501
eduroam,-64,A501
Novinari,-64,A501
Novinari,-73,A501
eduroam,-74,A501
Vijecnici,-74,A501
fesb-mobile,-75,A501
IoT Lab,-75,A501
predavaonice,-76,A501
Priva,-52,A501
TP-Link_27F9,-55,A501
eduroam,-63,A501
Vijecnici,-63,A501
predavaonice,-63,A501
SDZ,-63,A501
Novinari,-64,A501
Konferencija,-64,A501
fesb-mobile,-65,A501
IoT Lab,-72,A501
Priva,-50,A501
TP-Link_27F9,-54,A501
eduroam,-63,A501
free_wifi,-76,A501
Konferencija,-76,A501
IoT Lab,-77,A501
eduroam,-77,A501
fesb-mobile,-77,A501
SDZ,-77,A501
predavaonice,-77,A501
Priva,-50,A501
TP-Link_27F9,-58,A501
predavaonice,-65,A501
Novinari,-65,A501
Vijecnici,-65,A501
fesb-mobile,-65,A501
Konferencija,-65,A501
eduroam,-74,A501
fesb-mobile,-75,A501
Novinari,-76,A501
Priva,-50,A501
TP-Link_27F9,-59,A501
eduroam,-65,A501
Vijecnici,-65,A501
SDZ,-65,A501
fesb-mobile,-66,A501
Novinari,-66,A501
predavaonice,-66,A501
Konferencija,-66,A501
IoT Lab,-71,A501
Priva,-53,A501
TP-Link_27F9,-54,A501
SDZ,-64,A501
Vijecnici,-66,A501
fesb-mobile,-66,A501
Konferencija,-66,A501
eduroam,-67,A501
Novinari,-67,A501
predavaonice,-67,A501
Novinari,-73,A501
Priva,-52,A501
TP-Link_27F9,-53,A501
eduroam,-63,A501
Konferencija,-63,A501
predavaonice,-64,A501
Novinari,-64,A501
SDZ,-64,A501
fesb-mobile,-65,A501
Vijecnici,-67,A501
fesb-mobile,-71,A501
Priva,-51,A501
TP-Link_27F9,-57,A501
Konferencija,-67,A501
SDZ,-67,A501
Novinari,-68,A501
Vijecnici,-68,A501
predavaonice,-68,A501
eduroam,-69,A501
fesb-mobile,-69,A501
Konferencija,-73,A501
Priva,-51,A501
TP-Link_27F9,-55,A501
eduroam,-65,A501
Novinari,-71,A501
eduroam,-73,A501
IoT Lab,-75,A501
free_wifi,-77,A501
Novinari,-78,A501
eduroam,-79,A501
Konferencija,-79,A501
Priva,-51,A501
TP-Link_27F9,-54,A501
Novinari,-65,A501
eduroam,-66,A501
Vijecnici,-66,A501
predavaonice,-66,A501
fesb-mobile,-67,A501
Konferencija,-68,A501
SDZ,-68,A501
IoT Lab,-71,A501
Priva,-50,A501
TP-Link_27F9,-54,A501
Novinari,-66,A501
eduroam,-67,A501
IoT Lab,-70,A501
Novinari,-74,A501
fesb-mobile,-74,A501
eduroam,-75,A501
fesb-mobile,-75,A501
predavaonice,-75,A501
Priva,-51,A501
TP-Link_27F9,-52,A501
Novinari,-64,A501
fesb-mobile,-64,A501
eduroam,-65,A501
Vijecnici,-65,A501
predavaonice,-65,A501
Konferencija,-65,A501
IoT Lab,-67,A501
eduroam,-74,A501
Priva,-51,A501
TP-Link_27F9,-52,A501
Novinari,-68,A501
fesb-mobile,-68,A501
Vijecnici,-69,A501
predavaonice,-69,A501
Konferencija,-70,A501
eduroam,-70,A501
Novinari,-72,A501
eduroam,-72,A501
Priva,-50,A501
TP-Link_27F9,-57,A501
IoT Lab,-67,A501
Novinari,-71,A501
eduroam,-72,A501
Vijecnici,-72,A501
fesb-mobile,-72,A501
fesb-mobile,-73,A501
eduroam,-73,A501
Novinari,-74,A501
TP-Link_27F9,-50,A501
Priva,-51,A501
IoT Lab,-69,A501
Vijecnici,-71,A501
eduroam,-71,A501
Novinari,-71,A501
fesb-mobile,-72,A501
Vijecnici,-73,A501
eduroam,-73,A501
Novinari,-73,A501
Priva,-50,A501
TP-Link_27F9,-55,A501
predavaonice,-67,A501
IoT Lab,-68,A501
eduroam,-69,A501
Vijecnici,-69,A501
fesb-mobile,-69,A501
Konferencija,-69,A501
Novinari,-70,A501
SDZ,-70,A501
Priva,-51,A501
TP-Link_27F9,-56,A501
IoT Lab,-68,A501
Novinari,-70,A501
eduroam,-71,A501
Vijecnici,-72,A501
fesb-mobile,-72,A501
Novinari,-73,A501
predavaonice,-73,A501
eduroam,-74,A501
Priva,-49,A501
TP-Link_27F9,-51,A501
eduroam,-65,A501
Novinari,-65,A501
Vijecnici,-65,A501
fesb-mobile,-65,A501
predavaonice,-65,A501
Konferencija,-65,A501
IoT Lab,-69,A501
Novinari,-72,A501
Priva,-50,A501
TP-Link_27F9,-55,A501
eduroam,-65,A501
Novinari,-65,A501
Vijecnici,-65,A501
IoT Lab,-71,A501
Novinari,-72,A501
eduroam,-73,A501
SDZ,-76,A501
Novinari,-76,A501
Priva,-50,A501
TP-Link_27F9,-53,A501
Vijecnici,-68,A501
Konferencija,-68,A501
IoT Lab,-69,A501
Novinari,-69,A501
eduroam,-69,A501
fesb-mobile,-69,A501
predavaonice,-69,A501
SDZ,-69,A501
Priva,-51,A501
TP-Link_27F9,-55,A501
IoT Lab,-67,A501
Novinari,-68,A501
Vijecnici,-68,A501
Konferencija,-68,A501
SDZ,-68,A501
eduroam,-69,A501
predavaonice,-69,A501
fesb-mobile,-70,A501
Priva,-51,A501
TP-Link_27F9,-55,A501
IoT Lab,-70,A501
Konferencija,-70,A501
eduroam,-71,A501
Novinari,-71,A501
predavaonice,-71,A501
Vijecnici,-72,A501
fesb-mobile,-72,A501
SDZ,-72,A501
Priva,-51,A501
TP-Link_27F9,-54,A501
eduroam,-65,A501
IoT Lab,-68,A501
eduroam,-73,A501
free_wifi,-76,A501
Konferencija,-77,A501
SDZ,-77,A501
Novinari,-77,A501
fesb-mobile,-77,A501
Priva,-51,A501
TP-Link_27F9,-55,A501
eduroam,-63,A501
Novinari,-63,A501
Konferencija,-63,A501
SDZ,-63,A501
Vijecnici,-64,A501
fesb-mobile,-64,A501
predavaonice,-64,A501
IoT Lab,-66,A501
Priva,-52,A501
TP-Link_27F9,-59,A501
eduroam,-63,A501
Novinari,-63,A501
fesb-mobile,-63,A501
predavaonice,-63,A501
Konferencija,-63,A501
SDZ,-63,A501
Vijecnici,-64,A501
IoT Lab,-69,A501
Priva,-51,A501
